Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,133.750000,137.880005,118.389999,121.260002,119.155586,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,120.209518,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.371628,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,122.630447,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.013199,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,143.786682,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,149.671799,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,139.697647,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,147.891922,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.194504,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,175.564072,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,172.805557,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.254684,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,172.857452,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,156.067642,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.346085,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,135.546616,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,161.115234,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,155.870667,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,137.204208,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,152.235138,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,146.963394,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.207779,1675731200
2023-01-01,130.279999,147.229996,124.169998,144.289993,143.487961,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,146.590622,1307198900
2023-03-01,146.830002,165.000000,143.899994,164.899994,164.233765,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,168.994476,969709700
2023-05-01,169.279999,179.350006,164.309998,177.250000,176.533875,1275155500
2023-06-01,177.699997,194.479996,176.929993,193.970001,193.453568,1297101100
2023-07-01,193.779999,198.229996,186.600006,196.449997,195.926956,996066400
2023-08-01,196.240005,196.729996,171.960007,187.869995,187.369797,1322439400
2023-09-01,189.490005,189.979996,167.619995,171.210007,170.984741,1337586600
2023-10-01,171.220001,182.339996,165.669998,170.770004,170.545319,1172719600
2023-11-01,171.000000,192.929993,170.119995,189.949997,189.700073,1099586100
2023-12-01,190.330002,199.619995,187.449997,192.529999,192.529999,1062774800
2024-01-01,187.149994,188.440002,180.169998,186.190002,186.190002,423907300
2024-01-11,186.539993,187.050003,184.600006,184.764999,184.764999,7851434
