Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,114.627151,118.881454,112.925430,113.699806,98.258133,111617824
2021-03-01,115.057358,131.042068,113.537285,127.399620,111.568558,133852331
2021-04-01,127.877632,142.198853,124.646271,135.640533,118.785439,128573588
2021-05-01,137.485657,141.978973,134.722748,137.418732,120.342674,102542414
2021-06-01,138.623322,146.118546,136.749527,140.143402,124.100029,88332817
2021-07-01,140.497131,141.013382,130.219879,134.761002,119.333794,115710194
2021-08-01,135.229446,138.336517,131.175903,134.168259,118.808929,72891244
2021-09-01,133.824097,134.388138,126.940727,132.820267,118.969330,80160627
2021-10-01,134.799240,139.579346,119.139580,119.598473,107.126350,150725359
2021-11-01,119.550667,124.779999,114.559998,117.099998,104.888412,120104799
2021-12-01,118.250000,134.990005,116.559998,133.660004,121.319061,113968900
2022-01-01,134.070007,142.199997,124.190002,133.570007,121.237404,146976800
2022-02-01,133.759995,138.820007,118.809998,122.510002,111.198555,98534100
2022-03-01,122.669998,133.080002,120.699997,130.020004,119.436699,96571700
2022-04-01,129.660004,141.880005,124.910004,132.210007,121.448463,107684000
2022-05-01,133.000000,139.830002,125.800003,138.839996,127.538780,113226200
2022-06-01,139.669998,144.729996,132.850006,141.190002,131.270782,105811300
2022-07-01,141.000000,141.869995,125.129997,130.789993,121.601433,129791800
2022-08-01,130.750000,139.339996,128.399994,128.449997,119.425842,77419800
2022-09-01,128.399994,130.990005,118.610001,118.809998,111.854843,87265100
2022-10-01,120.160004,138.860001,115.550003,138.289993,130.194489,113478200
2022-11-01,138.250000,150.460007,133.970001,148.899994,140.183365,93661300
2022-12-01,149.979996,153.210007,137.199997,140.889999,134.223755,86424100
2023-01-01,141.100006,147.179993,132.979996,134.729996,128.355225,105575000
2023-02-01,134.490005,137.389999,128.860001,129.300003,123.182144,76080200
2023-03-01,128.899994,131.479996,121.709999,131.089996,126.421463,138239000
2023-04-01,130.970001,132.610001,124.559998,126.410004,121.908134,83679400
2023-05-01,126.349998,130.070007,120.550003,128.589996,124.010490,96207800
2023-06-01,128.440002,139.470001,127.779999,133.809998,130.804199,100711500
2023-07-01,133.419998,144.600006,131.550003,144.179993,140.941254,85773900
2023-08-01,144.250000,147.729996,139.759995,146.830002,143.531723,84268400
2023-09-01,147.259995,151.929993,139.610001,140.300003,138.726685,82798300
2023-10-01,140.039993,144.759995,135.869995,144.639999,143.018005,94385000
2023-11-01,145.000000,158.600006,144.449997,158.559998,156.781906,78458300
2023-12-01,158.410004,166.339996,158.000000,163.550003,163.550003,87828800
2024-01-01,162.830002,163.289993,157.889999,161.229996,161.229996,24229200
2024-01-11,161.020004,161.699997,160.830002,160.850006,160.850006,205044
